id,price,currency,rooms,area,location,city
6455429,80000,AZN,,5.0,Albalılıq,Bakı
5902710,191000,AZN,3,95.0,Lökbatan,Bakı
6442475,800,AZN,2,63.0,Şah İsmayıl Xətai,Bakı
6360595,115500,AZN,2,55.0,,Xırdalan
6437192,450000,AZN,2,101.0,Nəriman Nərimanov,Bakı
6479709,138000,AZN,2,50.0,20 Yanvar,Bakı
6458506,149000,AZN,4,120.0,Masazır,Bakı
6357130,200000,AZN,2,65.0,Gənclik,Bakı
6432514,239000,AZN,1,49.8,Sea Breeze,Bakı
6375171,256000,AZN,2,72.1,7-ci mikrorayon,Bakı
6374912,2200000,AZN,,3200.0,Xəzər,Bakı
6475474,235000,AZN,3,101.0,Həzi Aslanov,Bakı
6479533,380000,AZN,6,250.0,Bilgəh,Bakı
6134388,227000,AZN,8,205.0,Mehdiabad,Bakı
6243634,60000,AZN,,20.0,,Quba
6479001,550000,AZN,4,170.0,Nəsimi,Bakı
6412547,400000,AZN,,500.0,28 May,Bakı
6223078,310000,AZN,3,144.0,28 May,Bakı
6286399,224000,AZN,3,114.0,Həzi Aslanov,Bakı
6475707,230000,AZN,4,211.6,Pirallahı,Bakı
5566735,429000,AZN,4,173.0,Koroğlu,Bakı
6430058,309000,AZN,5,230.0,Novxanı,Bakı
6437620,75000,AZN,,10.0,Məmmədli,Bakı
6480711,1750,AZN,2,80.0,Şah İsmayıl Xətai,Bakı
6409683,310000,AZN,3,137.0,8-ci kilometr,Bakı
6221698,795000,AZN,4,185.0,Elmlər Akademiyası,Bakı
6394378,86500,AZN,2,55.0,Masazır,Bakı
6480678,209000,AZN,4,190.0,Buzovna,Bakı
5301180,83000,AZN,2,45.0,Masazır,Bakı
6248502,83000,AZN,2,44.0,Masazır,Bakı
6306555,430000,AZN,5,364.0,Şağan,Bakı
6475320,210000,AZN,2,70.0,Yasamal,Bakı
6368664,445,AZN,3,90.0,Avtovağzal,Bakı
6478857,234500,AZN,2,75.0,İçəri Şəhər,Bakı
6260372,149000,AZN,3,120.0,Novxanı,Bakı
6464046,345000,AZN,3,116.0,Memar Əcəmi,Bakı
5932037,2500,AZN,4,205.0,Elmlər Akademiyası,Bakı
6433422,450000,AZN,2,100.0,Nəriman Nərimanov,Bakı
6389924,600000,AZN,,200.0,Əhmədli,Bakı
6319499,450000,AZN,2,100.0,Nəriman Nərimanov,Bakı
6478136,108000,AZN,,48.0,Türkan,Bakı
6479261,400000,AZN,3,165.0,Nəriman Nərimanov,Bakı
6473282,400000,AZN,6,315.0,Nəriman Nərimanov,Bakı
6464382,240000,AZN,,12.0,Şıxov,Bakı
6464360,405000,AZN,,8.0,Bakıxanov,Bakı
6464376,615000,AZN,,18.0,Badamdar,Bakı
6447570,5000,AZN,8,550.0,Azadlıq Prospekti,Bakı
6479033,145000,AZN,,7.0,Şıxov,Bakı
6454485,800,AZN,4,100.0,Bakıxanov,Bakı
6441937,4000,AZN,,250.0,Nəriman Nərimanov,Bakı
6045191,110,AZN,4,250.0,Novxanı,Bakı
6452870,2000,AZN,5,180.0,Mərdəkan,Bakı
6461236,450000,AZN,2,100.0,Nəriman Nərimanov,Bakı
