id,price,currency,rooms,area,location,city,price_per_m2
3334218,245000,AZN,1,59.4,Nardaran,Bakı,4124.58
4672911,165500,AZN,1,48.0,Nardaran,Bakı,3447.92
6295052,272000,AZN,1,54.0,Sea Breeze,Bakı,5037.04
4212393,174000,AZN,1,58.0,Nardaran,Bakı,3000.0
6444730,420000,AZN,3,161.0,Nəriman Nərimanov,Bakı,2608.7
4810709,935000,AZN,7,310.0,Nardaran,Bakı,3016.13
6133209,655000,AZN,3,148.0,Elmlər Akademiyası,Bakı,4425.68
6424169,118500,AZN,1,42.0,Binəqədi,Bakı,2821.43
4435565,279000,AZN,1,57.0,Nardaran,Bakı,4894.74
5066956,705500,AZN,3,138.0,Sea Breeze,Bakı,5112.32
4513499,548505,AZN,1,71.7,Nardaran,Bakı,7650.0
6460421,128000,AZN,2,45.0,Memar Əcəmi,Bakı,2844.44
6475894,365000,AZN,4,153.0,Nəriman Nərimanov,Bakı,2385.62
6464217,644000,AZN,4,127.0,Şah İsmayıl Xətai,Bakı,5070.87
6475821,420000,AZN,4,173.0,Səbail,Bakı,2427.75
6255305,375000,AZN,3,136.0,8 Noyabr,Bakı,2757.35
4738960,314250,AZN,1,75.0,Nizami,Bakı,4190.0
6252246,955500,AZN,3,195.0,Nizami,Bakı,4900.0
6029528,353460,AZN,2,86.0,Nizami,Bakı,4110.0
4738972,505440,AZN,2,117.0,Nizami,Bakı,4320.0
6029578,487890,AZN,2,117.0,Nizami,Bakı,4170.0
6041364,1013460,AZN,5,254.0,Nizami,Bakı,3990.0
6041162,1023700,AZN,4,290.0,Nizami,Bakı,3530.0
6250444,1125650,AZN,5,235.0,Nizami,Bakı,4790.0
6041094,768570,AZN,4,187.0,Nizami,Bakı,4110.0
6250487,615450,AZN,3,165.0,Nizami,Bakı,3730.0
5146201,632940,AZN,3,154.0,Nizami,Bakı,4110.0
5798925,574000,AZN,3,117.0,Ağ şəhər,Bakı,4905.98
6224003,318000,AZN,3,109.0,20 Yanvar,Bakı,2917.43
6029618,491400,AZN,2,117.0,Nizami,Bakı,4200.0
6466051,345000,AZN,2,68.0,Elmlər Akademiyası,Bakı,5073.53
5646958,790000,AZN,4,225.0,Nərimanov,Bakı,3511.11
4744384,648740,AZN,3,163.0,Nizami,Bakı,3980.0
4744383,665040,AZN,3,163.0,Nizami,Bakı,4080.0
4893906,513630,AZN,2,117.0,Nizami,Bakı,4390.0
4738969,908600,AZN,4,220.0,Nizami,Bakı,4130.0
4738965,968820,AZN,4,241.0,Nizami,Bakı,4020.0
6418253,175000,AZN,3,72.0,Bakıxanov,Bakı,2430.56
5972621,253000,AZN,4,105.0,Xalqlar Dostluğu,Bakı,2409.52
6399519,175000,AZN,4,189.3,Məmmədli,Bakı,924.46
6466346,345000,AZN,2,68.0,Elmlər Akademiyası,Bakı,5073.53
5946115,199000,AZN,2,45.0,Nərimanov,Bakı,4422.22
6248327,240000,AZN,2,100.0,Nəsimi,Bakı,2400.0
6284402,210000,AZN,3,60.0,Nəsimi,Bakı,3500.0
6403831,175000,AZN,4,110.0,Şüvəlan,Bakı,1590.91
6403821,390000,AZN,4,170.0,Mərdəkan,Bakı,2294.12
5862835,105700,AZN,2,75.5,Masazır,Bakı,1400.0
6064294,310000,AZN,4,110.0,7-ci mikrorayon,Bakı,2818.18
6273855,355000,AZN,3,113.0,Azadlıq Prospekti,Bakı,3141.59
5501175,286671,AZN,2,80.3,Sea Breeze,Bakı,3570.0
6433953,410000,AZN,3,152.0,Badamdar,Bakı,2697.37
6450843,194800,AZN,3,73.0,Yeni Günəşli,Bakı,2668.49
6316898,249000,AZN,3,131.0,Yeni Yasamal,Bakı,1900.76
6222651,365000,AZN,3,116.0,Nəsimi,Bakı,3146.55
6238695,325000,AZN,3,79.0,Nəsimi,Bakı,4113.92
5642771,142560,AZN,4,105.6,Məmmədli,Bakı,1350.0
6223302,755000,AZN,4,185.0,Elmlər Akademiyası,Bakı,4081.08
6157412,877000,AZN,5,320.0,Bilgəh,Bakı,2740.62
4967505,244755,AZN,3,90.6,Dərnəgül,Bakı,2701.49
4965966,229880,AZN,2,82.1,Dərnəgül,Bakı,2800.0
4967529,282750,AZN,3,113.1,Dərnəgül,Bakı,2500.0
6297859,295000,AZN,3,134.0,Əhmədli,Bakı,2201.49
5047064,909500,AZN,5,267.5,Nizami,Bakı,3400.0
5873323,2539300,AZN,5,379.0,Bayıl,Bakı,6700.0
6358629,282278,AZN,2,64.0,Sea Breeze,Bakı,4410.59
6307508,230000,AZN,4,130.0,Şüvəlan,Bakı,1769.23
6284004,285000,AZN,4,155.0,Şüvəlan,Bakı,1838.71
6211954,248000,AZN,4,160.0,Şüvəlan,Bakı,1550.0
6306883,370000,AZN,4,155.0,Mərdəkan,Bakı,2387.1
5646814,1132380,AZN,4,251.6,Şah İsmayıl Xətai,Bakı,4500.72
