id,price,currency,rooms,area,floor,floors,hasRepair,isVipped,isFeatured,location,city
6176591,310000,AZN,2,81.0,3,17,True,False,False,Gənclik,Bakı
5897242,310000,AZN,3,119.0,2,15,True,False,False,Neftçilər,Bakı
6480127,339000,AZN,3,85.0,5,20,True,True,False,Şah İsmayıl Xətai,Bakı
6398388,690000,AZN,4,210.0,3,14,True,True,False,İçəri Şəhər,Bakı
6494899,182000,AZN,3,110.0,3,4,True,False,False,,Xırdalan
6417622,270000,AZN,3,77.0,4,17,True,False,False,İnşaatçılar,Bakı
6455664,289000,AZN,3,100.0,6,20,True,True,False,20 Yanvar,Bakı
6494896,240000,AZN,4,112.0,4,9,True,False,False,Əhmədli,Bakı
6455968,230000,AZN,2,68.7,8,18,True,True,True,8 Noyabr,Bakı
6459894,798000,AZN,4,183.0,6,17,True,True,False,Gənclik,Bakı
6437248,303000,AZN,3,87.0,9,16,True,False,False,Qara Qarayev,Bakı
6494893,293000,AZN,4,122.0,5,9,True,False,False,Bayıl,Bakı
6371693,151000,AZN,2,55.0,4,5,True,False,False,İnşaatçılar,Bakı
6209749,338000,AZN,3,107.0,9,17,True,False,False,Koroğlu,Bakı
6494892,130000,AZN,2,68.0,1,16,True,False,False,,Xırdalan
6494891,178000,AZN,3,70.0,1,9,True,False,False,Yeni Yasamal,Bakı
6494890,285000,AZN,4,135.0,13,16,True,False,False,Həzi Aslanov,Bakı
6391554,163000,AZN,3,80.0,2,4,True,False,False,Avtovağzal,Bakı
6492216,167000,AZN,3,60.0,8,12,True,True,False,İnşaatçılar,Bakı
6358627,490000,AZN,2,95.0,2,7,True,True,False,Ağ şəhər,Bakı
6494889,191000,AZN,3,115.0,12,19,True,False,False,Bakıxanov,Bakı
6203903,220000,AZN,3,88.0,4,5,True,False,False,İnşaatçılar,Bakı
6466828,420000,AZN,4,120.0,7,10,True,True,False,Səbail,Bakı
6246300,430000,AZN,4,137.0,10,15,True,True,False,Şah İsmayıl Xətai,Bakı
5909818,259000,AZN,3,96.0,6,14,False,True,True,Nərimanov,Bakı
6494888,310000,AZN,2,82.0,17,17,True,False,False,Nəsimi,Bakı
6409461,300000,AZN,3,105.0,8,16,True,False,False,Qara Qarayev,Bakı
6477850,150000,AZN,2,55.0,5,5,True,True,True,İnşaatçılar,Bakı
6209748,219000,AZN,2,59.0,13,17,True,False,False,Koroğlu,Bakı
6412026,299000,AZN,4,135.0,13,16,True,False,False,Həzi Aslanov,Bakı
