id,price,currency,rooms,area,floor,hasRepair,location,city
6354515,580000,AZN,3,170.0,4,False,Şah İsmayıl Xətai,Bakı
6041162,1023700,AZN,4,290.0,3,False,Nizami,Bakı
6250444,1125650,AZN,5,235.0,15,False,Nizami,Bakı
6345039,4000,AZN,,1060.0,,True,Masazır,Bakı
6041094,768570,AZN,4,187.0,4,False,Nizami,Bakı
6250487,615450,AZN,3,165.0,3,False,Nizami,Bakı
5146201,632940,AZN,3,154.0,4,False,Nizami,Bakı
5798925,574000,AZN,3,117.0,6,False,Ağ şəhər,Bakı
6470178,133000,AZN,2,45.0,4,True,Əhmədli,Bakı
6029618,491400,AZN,2,117.0,5,False,Nizami,Bakı
5646958,790000,AZN,4,225.0,10,False,Nərimanov,Bakı
6406890,123000,AZN,3,77.0,7,True,,Xırdalan
5510792,15000,AZN,,770.0,,False,Ağ şəhər,Bakı
4744384,648740,AZN,3,163.0,6,False,Nizami,Bakı
6479812,4020000,AZN,12,772.0,14,True,Şah İsmayıl Xətai,Bakı
4744383,665040,AZN,3,163.0,10,False,Nizami,Bakı
4893906,513630,AZN,2,117.0,13,False,Nizami,Bakı
5773211,3500,AZN,,80.0,,False,İçəri Şəhər,Bakı
4738969,908600,AZN,4,220.0,10,False,Nizami,Bakı
4738965,968820,AZN,4,241.0,3,False,Nizami,Bakı
6458634,469000,AZN,3,142.0,7,True,8 Noyabr,Bakı
6432206,950,AZN,2,70.0,7,True,Badamdar,Bakı
5970060,150,AZN,5,210.0,,True,Novxanı,Bakı
5972621,249500,AZN,4,105.0,2,True,Xalqlar Dostluğu,Bakı
5778086,100000,AZN,,58.0,,,,Cəlilabad
5946115,199000,AZN,2,45.0,3,True,Nərimanov,Bakı
6248327,240000,AZN,2,100.0,4,True,Nəsimi,Bakı
6284402,210000,AZN,3,60.0,10,True,Nəsimi,Bakı
6064294,310000,AZN,4,110.0,16,True,7-ci mikrorayon,Bakı
6273855,355000,AZN,3,113.0,4,True,Azadlıq Prospekti,Bakı
5501175,286671,AZN,2,80.3,1,False,Sea Breeze,Bakı
6131203,62000,AZN,,4.5,,,Şüvəlan,Bakı
5988281,280000,AZN,2,112.0,12,True,Nəsimi,Bakı
5999298,69000,AZN,1,72.4,2,False,Abşeron,Xırdalan
6316898,249000,AZN,3,131.0,6,True,Yeni Yasamal,Bakı
6483011,520000,AZN,3,125.0,20,True,Şah İsmayıl Xətai,Bakı
6222651,365000,AZN,3,116.0,14,True,Nəsimi,Bakı
6238695,325000,AZN,3,79.0,8,True,Nəsimi,Bakı
6157697,145000,AZN,,6.0,,,Mərdəkan,Bakı
6449737,348000,AZN,,24.0,,True,Bilgəh,Bakı
5552128,414766,AZN,2,110.9,4,False,Sea Breeze,Bakı
6431979,257499,AZN,1,56.1,2,False,Nardaran,Bakı
6439440,85000,AZN,3,100.0,,True,Abşeron,Bakı
6443448,255000,AZN,3,80.0,3,True,Yasamal,Bakı
3466697,909500,AZN,5,267.5,7,False,Nizami,Bakı
6386543,715000,AZN,4,160.0,10,True,Nizami,Bakı
5044313,456000,AZN,2,114.0,2,True,Nizami,Bakı
5047008,783360,AZN,4,230.4,5,False,Nizami,Bakı
5047084,909500,AZN,5,267.5,7,False,Nəsimi,Bakı
6409548,64000,AZN,2,53.0,,True,Sabunçu,Bakı
5786668,416000,AZN,2,104.0,3,True,Nizami,Bakı
6472459,114000,AZN,3,80.0,4,True,Masazır,Bakı
5555449,449616,AZN,2,82.7,4,True,Sea Breeze,Bakı
5786592,348000,AZN,2,87.0,2,True,Nizami,Bakı
6484996,215000,AZN,4,160.0,,True,Şüvəlan,Bakı
5047211,592960,AZN,3,174.4,2,False,Nizami,Bakı
4897668,990000,AZN,12,500.0,,False,Sahil,Bakı
6303020,310000,AZN,3,135.0,2,True,Qara Qarayev,Bakı
6458467,260000,AZN,4,135.0,,True,Xocəsən,Bakı
4078471,606060,AZN,4,163.8,15,False,Nizami,Bakı
6382259,383775,AZN,2,90.3,11,False,Nardaran,Bakı
6478430,800,AZN,3,123.0,4,True,Memar Əcəmi,Bakı
6462931,199000,AZN,3,107.0,9,True,Zığ,Bakı
5926133,150,AZN,1,68.0,1,True,Nardaran,Bakı
6268026,5000000,AZN,10,500.0,,True,Bilgəh,Bakı
6450838,325000,AZN,4,185.0,,True,Badamdar,Bakı
6447644,1200,AZN,2,104.0,2,True,Şah İsmayıl Xətai,Bakı
6332689,2500,AZN,,103.0,,True,Gənclik,Bakı
6452537,365000,AZN,4,160.0,16,True,İnşaatçılar,Bakı
6457552,270000,AZN,1,46.0,2,True,Nardaran,Bakı
6473124,115000,AZN,1,44.0,4,False,Sea Breeze,Bakı
6473127,170000,AZN,2,65.0,2,False,Sea Breeze,Bakı
6473129,120000,AZN,1,44.0,6,False,Sea Breeze,Bakı
6473131,91000,AZN,1,38.0,8,False,Sea Breeze,Bakı
6483844,112000,AZN,2,45.0,11,True,Abşeron,Xırdalan
5863380,395148,AZN,2,89.4,8,True,Nardaran,Bakı
