id,price,currency,rooms,area,floor,hasRepair,location,city,price_per_m2
6447796,110000,AZN,1,38.0,1.0,True,Memar Əcəmi,Bakı,2894.74
6422687,430000,AZN,3,108.0,4.0,True,28 May,Bakı,3981.48
6439523,189000,AZN,3,75.0,4.0,True,Memar Əcəmi,Bakı,2520.0
6399720,194500,AZN,2,60.0,3.0,True,Memar Əcəmi,Bakı,3241.67
5465343,305000,AZN,3,110.0,11.0,True,Əhmədli,Bakı,2772.73
6388659,215000,AZN,3,101.0,4.0,True,Xətai,Bakı,2128.71
6399777,240000,AZN,3,75.0,2.0,True,Memar Əcəmi,Bakı,3200.0
6313135,765000,AZN,7,250.0,,True,Nizami,Bakı,3060.0
5640831,245795,AZN,1,56.7,3.0,False,Nardaran,Bakı,4335.01
6414185,700000,AZN,7,800.0,17.0,False,Elmlər Akademiyası,Bakı,875.0
6390519,264000,AZN,3,96.0,6.0,False,Nəriman Nərimanov,Bakı,2750.0
5444086,254060,AZN,1,50.7,13.0,True,Sea Breeze,Bakı,5011.05
6459314,305000,AZN,5,152.0,,True,Şüvəlan,Bakı,2006.58
6120103,365000,AZN,2,128.0,11.0,True,Nərimanov,Bakı,2851.56
6098513,255000,AZN,2,91.9,5.0,False,Abşeron,Bakı,2774.76
6482605,263000,AZN,2,59.0,3.0,True,Bakmil,Bakı,4457.63
6206411,195000,AZN,1,57.4,4.0,False,Nardaran,Bakı,3397.21
6350458,299000,AZN,12,500.0,,False,Mehdiabad,Bakı,598.0
3740327,282596,AZN,2,91.16,7.0,False,Nərimanov,Bakı,3100.0
3740381,661440,AZN,5,206.65,12.0,False,Nərimanov,Bakı,3200.77
3740372,397760,AZN,3,124.3,12.0,False,Nərimanov,Bakı,3200.0
4360738,379254,AZN,4,122.34,7.0,False,Nəriman Nərimanov,Bakı,3100.0
6474882,265000,AZN,2,75.0,8.0,True,İnşaatçılar,Bakı,3533.33
6349093,430000,AZN,3,145.0,11.0,False,Şah İsmayıl Xətai,Bakı,2965.52
6433621,255000,AZN,3,115.0,16.0,True,Avtovağzal,Bakı,2217.39
5443908,301682,AZN,2,93.4,12.0,False,Sea Breeze,Bakı,3230.0
6446209,268000,AZN,2,66.0,5.0,True,Gənclik,Bakı,4060.61
6460216,130000,AZN,4,130.0,,True,Xocəsən,Bakı,1000.0
6461607,145000,AZN,2,48.0,5.0,True,Xətai,Bakı,3020.83
6457553,285000,AZN,3,105.0,11.0,True,Memar Əcəmi,Bakı,2714.29
6392288,155000,AZN,2,50.0,14.0,True,Həzi Aslanov,Bakı,3100.0
6389702,380000,AZN,4,200.0,,True,Nardaran,Bakı,1900.0
6078710,279557,AZN,1,57.7,19.0,False,Nardaran,Bakı,4845.01
6465086,163000,AZN,2,70.0,1.0,True,İnşaatçılar,Bakı,2328.57
6173791,190000,AZN,1,26.0,2.0,True,İçəri Şəhər,Bakı,7307.69
5516678,259080,AZN,1,50.8,3.0,False,Sea Breeze,Bakı,5100.0
6484946,483588,AZN,3,134.3,6.0,False,Elmlər Akademiyası,Bakı,3600.8
6485304,424080,AZN,2,111.6,9.0,False,Elmlər Akademiyası,Bakı,3800.0
6452746,355000,AZN,3,120.0,2.0,True,İnşaatçılar,Bakı,2958.33
6434539,510000,AZN,3,125.0,19.0,True,Şah İsmayıl Xətai,Bakı,4080.0
5514359,496407,AZN,2,78.9,1.0,True,Sea Breeze,Bakı,6291.6
6474757,550000,AZN,3,175.0,14.0,False,Nizami,Bakı,3142.86
6400890,299000,AZN,3,72.0,18.0,True,Bakmil,Bakı,4152.78
6294298,257000,AZN,2,100.0,12.0,True,20 Yanvar,Bakı,2570.0
5515435,275000,AZN,4,148.5,1.0,False,Həzi Aslanov,Bakı,1851.85
6339775,575000,AZN,2,93.0,5.0,True,Sea Breeze,Bakı,6182.8
5442827,243474,AZN,2,68.2,2.0,False,Sea Breeze,Bakı,3570.0
6446916,268000,AZN,2,90.0,15.0,True,Əhmədli,Bakı,2977.78
4816583,1901939,AZN,4,266.4,4.0,False,Bayıl,Bakı,7139.41
6257973,450000,AZN,5,300.0,,True,Novxanı,Bakı,1500.0
5877292,252000,AZN,2,92.0,19.0,True,Nəriman Nərimanov,Bakı,2739.13
6457490,70000,AZN,2,58.0,,True,Masazır,Bakı,1206.9
6449777,161690,AZN,3,87.4,2.0,False,Biləcəri,Bakı,1850.0
6425579,310000,AZN,3,90.0,7.0,True,Həzi Aslanov,Bakı,3444.44
5534371,200634,AZN,1,56.2,9.0,False,Sea Breeze,Bakı,3570.0
6097066,315000,AZN,4,185.0,14.0,False,Əhmədli,Bakı,1702.7
6252631,198000,AZN,3,75.0,5.0,True,Həzi Aslanov,Bakı,2640.0
6413626,245000,AZN,3,77.0,3.0,True,Bakıxanov,Bakı,3181.82
6430086,890000,AZN,6,340.0,,True,Badamdar,Bakı,2617.65
6432514,239000,AZN,1,49.8,1.0,False,Sea Breeze,Bakı,4799.2
6467540,195000,AZN,2,70.0,13.0,True,Nəriman Nərimanov,Bakı,2785.71
