id,price,currency,rooms,area,floor,floors,hasRepair,isVipped,isFeatured,location,city,price_per_m2
6494640,395000,AZN,3,105.0,18,19,True,False,False,Nəriman Nərimanov,Bakı,3761.9
6385857,612000,AZN,3,136.0,4,8,False,False,False,Ağ şəhər,Bakı,4500.0
6350494,700000,AZN,4,145.0,3,7,False,False,False,Ağ şəhər,Bakı,4827.59
6494638,1200000,AZN,5,322.0,9,17,True,False,False,Elmlər Akademiyası,Bakı,3726.71
6457718,1200000,AZN,4,210.0,12,15,True,True,True,Nəsimi,Bakı,5714.29
6494635,173000,AZN,3,59.0,14,18,True,False,False,İnşaatçılar,Bakı,2932.2
6494634,270000,AZN,2,94.0,10,18,True,False,False,Elmlər Akademiyası,Bakı,2872.34
6357081,195000,AZN,3,60.0,2,4,True,False,False,Gənclik,Bakı,3250.0
6494632,430000,AZN,4,165.0,10,16,True,False,False,8 Noyabr,Bakı,2606.06
6494633,243000,AZN,4,110.0,4,9,True,False,False,20 Yanvar,Bakı,2209.09
6443178,225000,AZN,2,95.0,13,19,True,False,False,İnşaatçılar,Bakı,2368.42
6469298,493000,AZN,3,100.0,1,9,False,True,True,Nardaran,Bakı,4930.0
6000073,285000,AZN,3,110.0,7,11,True,False,False,Azadlıq Prospekti,Bakı,2590.91
6487695,162000,AZN,2,57.0,2,5,True,False,False,Xalqlar Dostluğu,Bakı,2842.11
6455875,184000,AZN,2,60.0,2,9,True,False,False,Həzi Aslanov,Bakı,3066.67
6072234,300000,AZN,2,67.0,7,17,True,False,False,Nəsimi,Bakı,4477.61
5879195,460000,AZN,3,125.0,6,16,True,False,False,Nəriman Nərimanov,Bakı,3680.0
6179674,249000,AZN,3,90.0,4,5,True,False,False,Binəqədi,Bakı,2766.67
6484747,180000,AZN,2,65.0,4,5,True,True,False,Xalqlar Dostluğu,Bakı,2769.23
6385565,215000,AZN,4,85.0,4,5,True,False,False,Azadlıq Prospekti,Bakı,2529.41
6494630,157000,AZN,2,40.0,3,9,True,False,False,Nərimanov,Bakı,3925.0
6476874,124000,AZN,2,60.0,1,5,True,False,False,Xalqlar Dostluğu,Bakı,2066.67
6438132,182000,AZN,3,60.0,1,9,True,False,False,Xalqlar Dostluğu,Bakı,3033.33
6411604,117000,AZN,2,37.0,5,5,True,False,False,Neftçilər,Bakı,3162.16
6494629,390000,AZN,3,110.0,8,17,True,False,False,28 May,Bakı,3545.45
